name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"ZÃ¼rich, ZH, Schweiz",2018-06-02,24.7,13.6,18.9,24.7,13.6,18.9,12.8,70.6,0.011,100,12.5,rain,0.0,0.0,18.4,8.9,337.1,1018.3,36.7,10.0,325.2,28.3,9,,2018-06-02T05:32:45,2018-06-02T21:15:24,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-03,25.7,14.2,20.0,25.7,14.2,20.0,13.3,67.4,0.0,0,0.0,,0.0,0.0,31.6,12.4,44.3,1015.2,83.3,10.0,269.0,23.2,6,,2018-06-03T05:32:11,2018-06-03T21:16:16,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-04,26.8,15.5,19.5,27.1,15.5,19.5,14.1,72.4,5.247,100,25.0,rain,0.0,0.0,49.2,22.5,40.6,1009.9,67.9,9.9,261.5,22.5,9,,2018-06-04T05:31:39,2018-06-04T21:17:07,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06670099999,06693099999,06673099999,C3619,06623099999,06660099999,06674099999,05731,06664099999,06644099999,06624099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-05,26.2,15.1,19.8,26.2,15.1,19.8,14.8,75.3,0.337,100,16.67,rain,0.0,0.0,39.0,9.4,64.0,1009.2,56.5,9.9,272.0,23.6,9,,2018-06-05T05:31:10,2018-06-05T21:17:56,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-06,24.7,16.6,20.4,24.7,16.6,20.4,14.8,70.7,0.094,100,16.67,rain,0.0,0.0,31.0,10.8,248.3,1010.8,55.3,10.0,259.1,22.6,8,,2018-06-06T05:30:43,2018-06-06T21:18:43,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-07,23.2,16.6,19.6,23.2,16.6,19.6,14.7,74.6,1.364,100,16.67,rain,0.0,0.0,25.7,12.9,284.1,1014.3,78.7,9.9,214.4,18.4,7,,2018-06-07T05:30:19,2018-06-07T21:19:28,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06670099999,06647099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-08,23.7,16.1,18.4,23.7,16.1,18.4,15.1,81.8,16.201,100,41.67,rain,0.0,0.0,39.2,11.9,15.4,1012.1,84.4,9.1,213.1,18.2,8,,2018-06-08T05:29:57,2018-06-08T21:20:11,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06670099999,06673099999,C3619,C5455,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-09,26.2,16.4,20.3,26.2,16.4,20.3,15.7,77.1,0.381,100,25.0,rain,0.0,0.0,26.9,9.6,262.5,1011.9,63.3,8.8,281.4,24.3,9,,2018-06-09T05:29:38,2018-06-09T21:20:52,0.86,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-10,26.4,16.2,21.6,26.4,16.2,21.6,15.4,70.0,0.0,0,0.0,,0.0,0.0,27.5,13.2,244.3,1011.5,61.2,10.0,285.2,24.6,9,,2018-06-10T05:29:21,2018-06-10T21:21:30,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2018-06-11,22.7,17.1,19.2,22.7,17.1,19.2,16.5,84.4,5.071,100,29.17,rain,0.0,0.0,35.6,15.5,260.3,1010.0,73.1,9.9,126.0,10.6,3,,2018-06-11T05:29:07,2018-06-11T21:22:07,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
