name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"ZÃ¼rich, ZH, Schweiz",1998-06-02,27.1,11.1,19.2,26.9,11.1,19.2,11.7,64.4,0.0,0.0,0.0,,,242.5,,13.0,250.7,1012.3,66.4,19.8,,,,,1998-06-02T05:32:48,1998-06-02T21:15:13,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-03,20.1,13.6,16.2,20.1,13.6,16.2,13.7,85.3,11.915,100.0,8.33,rain,,232.5,,27.8,217.0,1018.3,87.8,15.5,,,,,1998-06-03T05:32:13,1998-06-03T21:16:06,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-04,27.1,14.1,20.6,27.3,14.1,20.6,14.4,70.5,0.006,100.0,4.17,rain,,222.5,,9.4,42.3,1018.0,61.4,16.0,,,,,1998-06-04T05:31:41,1998-06-04T21:16:57,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-05,31.1,15.1,23.3,31.5,15.1,23.3,14.7,62.2,0.002,100.0,4.17,rain,,210.0,,11.2,72.8,1014.4,65.7,15.9,,,,,1998-06-05T05:31:11,1998-06-05T21:17:46,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-06,32.1,14.1,23.2,31.1,14.1,22.9,12.7,56.4,0.0,0.0,0.0,,,195.0,,18.4,225.3,1012.2,70.9,13.0,,,,,1998-06-06T05:30:44,1998-06-06T21:18:33,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06670099999,06680099999,06643099999,06672099999,06681099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-07,23.1,13.0,18.1,23.1,13.0,18.1,14.8,82.4,0.522,100.0,8.33,rain,,185.0,,18.4,261.2,1013.9,83.5,10.2,,,,,1998-06-07T05:30:19,1998-06-07T21:19:18,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-08,21.1,12.3,16.1,21.1,12.3,16.1,9.8,69.4,4.997,100.0,8.33,rain,,180.0,,9.4,189.5,1020.4,57.5,15.6,,,,,1998-06-08T05:29:57,1998-06-08T21:20:02,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-09,24.1,8.1,17.4,24.1,8.1,17.4,10.3,66.1,0.0,0.0,0.0,,,175.0,,13.0,256.2,1017.6,48.2,24.5,,,,,1998-06-09T05:29:38,1998-06-09T21:20:43,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-10,20.6,13.1,15.8,20.6,13.1,15.8,13.5,87.0,2.997,100.0,4.17,rain,,165.0,,22.2,243.9,1010.3,73.4,16.3,,,,,1998-06-10T05:29:21,1998-06-10T21:21:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
"ZÃ¼rich, ZH, Schweiz",1998-06-11,15.1,8.6,12.4,15.1,6.8,12.1,10.3,87.3,1.012,100.0,8.33,rain,,169.0,,14.8,213.0,1008.4,90.8,10.6,,,,,1998-06-11T05:29:06,1998-06-11T21:21:59,0.54,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06689099999,06670099999,06680099999,06643099999,06672099999,06639099999,06660099999"
