name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"ZÃ¼rich, ZH, Schweiz",2020-01-02,-0.3,-2.0,-1.2,-0.6,-3.9,-1.8,-2.0,94.9,0.0,0,0.0,,0.0,0.0,14.1,7.7,213.6,1032.9,94.6,6.0,25.6,2.3,1,,2020-01-02T08:13:15,2020-01-02T16:46:12,0.23,Overcast,Cloudy skies throughout the day.,cloudy,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-03,6.0,-0.7,2.6,5.2,-2.7,1.4,0.8,88.3,0.767,100,12.5,rain,0.0,0.0,27.5,15.2,215.6,1029.7,73.8,7.5,42.1,3.7,3,,2020-01-03T08:13:12,2020-01-03T16:47:11,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-04,6.6,2.9,5.1,5.0,0.6,3.2,2.3,81.7,0.711,100,41.67,rain,0.0,0.0,37.1,16.7,263.7,1033.1,70.7,9.8,23.8,2.0,1,,2020-01-04T08:13:06,2020-01-04T16:48:13,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-05,5.7,-0.8,1.8,3.6,-3.8,0.4,-1.0,82.5,0.0,0,0.0,,0.0,0.0,37.1,11.2,45.0,1036.7,19.1,9.9,49.6,4.4,3,,2020-01-05T08:12:58,2020-01-05T16:49:16,0.33,Clear,Clear conditions throughout the day.,clear-day,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-06,3.7,-2.0,0.0,3.5,-3.3,-0.4,-1.1,92.7,0.0,0,0.0,,0.0,0.0,15.8,5.7,242.9,1031.8,46.5,3.5,43.9,3.7,3,,2020-01-06T08:12:47,2020-01-06T16:50:22,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-07,5.5,-0.7,2.8,5.5,-2.6,2.2,0.4,84.4,0.0,0,0.0,,0.0,0.0,24.1,11.5,269.9,1031.6,64.0,8.3,25.0,2.1,1,,2020-01-07T08:12:33,2020-01-07T16:51:29,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-08,7.4,-1.0,2.7,6.7,-1.0,2.6,0.1,84.2,0.0,0,0.0,,0.0,0.0,13.2,5.8,222.0,1032.0,54.9,5.5,42.2,3.7,2,,2020-01-08T08:12:16,2020-01-08T16:52:38,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C5455,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-09,10.6,2.2,5.8,10.6,0.9,5.4,-2.8,56.3,0.0,0,0.0,,0.0,0.0,21.4,9.9,203.0,1024.4,47.2,10.0,50.0,4.4,3,,2020-01-09T08:11:56,2020-01-09T16:53:50,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-10,9.7,5.3,7.7,6.7,3.7,5.3,1.0,63.5,0.0,0,0.0,,0.0,0.0,55.1,25.7,241.4,1023.9,54.3,10.0,42.5,3.6,3,,2020-01-10T08:11:34,2020-01-10T16:55:02,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C5455,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-11,7.0,0.4,4.3,6.7,0.4,3.7,1.8,84.4,0.019,100,12.5,rain,0.0,0.0,22.1,10.8,32.4,1033.1,53.7,9.9,29.8,2.5,2,,2020-01-11T08:11:08,2020-01-11T16:56:17,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"D5623,06670099999,06263,06647099999,06673099999,06660099999,06674099999,05731,02953,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-12,5.2,-0.3,1.6,4.0,-0.3,1.0,-0.3,88.3,0.0,0,0.0,,0.0,0.0,17.8,10.3,237.1,1030.5,51.4,5.6,56.6,4.8,3,,2020-01-12T08:10:40,2020-01-12T16:57:33,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C5455,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-13,4.9,-2.4,1.1,4.9,-2.4,1.0,-1.3,84.9,0.0,0,0.0,,0.0,0.0,10.1,14.4,192.6,1025.5,47.8,7.9,45.9,4.0,2,,2020-01-13T08:10:10,2020-01-13T16:58:50,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06263,06673099999,C3619,06660099999,06674099999,05731,02953,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-14,9.3,-1.0,3.9,7.9,-1.8,2.8,-2.5,65.6,0.0,0,0.0,,0.0,0.0,34.0,13.5,202.8,1020.5,57.6,9.1,51.4,4.5,3,,2020-01-14T08:09:37,2020-01-14T17:00:09,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06647099999,06673099999,C5455,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-15,11.6,1.9,6.4,11.6,1.5,5.3,-1.2,58.8,0.0,0,0.0,,0.0,0.0,44.6,18.4,212.9,1022.7,34.9,10.0,68.4,5.9,3,,2020-01-15T08:09:01,2020-01-15T17:01:29,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06263,06673099999,C3619,06660099999,06674099999,E8728,05731,02953,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-16,10.2,2.4,6.3,10.2,2.4,5.9,0.2,66.1,0.0,0,0.0,,0.0,0.0,44.7,9.4,216.2,1028.5,37.8,10.0,67.5,5.7,4,,2020-01-16T08:08:22,2020-01-16T17:02:51,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C3619,06660099999,06674099999,E8728,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-17,7.7,1.1,4.1,7.5,-0.5,3.1,1.2,82.0,3.399,100,33.33,rain,0.0,0.0,41.7,14.3,230.6,1024.2,56.4,9.8,30.0,2.7,2,,2020-01-17T08:07:41,2020-01-17T17:04:14,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D5623,06670099999,06673099999,C3619,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-18,5.6,0.6,3.7,3.2,0.6,2.2,0.4,79.9,0.822,100,45.83,rain,0.0,0.0,36.7,14.8,255.8,1028.8,66.3,9.8,44.4,3.7,3,,2020-01-18T08:06:57,2020-01-18T17:05:38,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-19,3.5,-1.0,0.6,1.1,-3.1,-1.5,-2.4,80.6,0.014,100,8.33,"rain,snow",0.0,0.0,29.5,12.4,35.5,1035.7,71.2,9.6,45.1,4.1,3,,2020-01-19T08:06:11,2020-01-19T17:07:03,0.81,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-20,2.4,-1.7,-0.2,-0.7,-6.6,-3.9,-3.6,78.4,0.0,0,0.0,,0.0,0.0,43.2,16.5,55.4,1043.0,52.6,10.0,56.0,4.9,4,,2020-01-20T08:05:23,2020-01-20T17:08:29,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C5455,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-21,1.6,-3.9,-1.7,0.1,-6.3,-3.9,-4.2,83.5,0.0,0,0.0,,0.0,0.0,28.3,13.3,40.0,1041.4,26.1,9.0,59.3,5.3,3,,2020-01-21T08:04:31,2020-01-21T17:09:56,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C5455,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-22,-1.3,-3.9,-2.7,-1.3,-8.3,-4.2,-3.6,93.6,0.0,0,0.0,,0.0,0.0,20.7,11.4,60.4,1036.7,79.1,4.3,30.9,2.6,1,,2020-01-22T08:03:38,2020-01-22T17:11:23,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-23,-2.4,-3.0,-2.7,-2.4,-7.2,-4.1,-3.9,91.7,0.0,0,0.0,,0.0,0.0,24.4,11.3,40.7,1032.1,100.0,5.2,17.1,1.4,1,,2020-01-23T08:02:42,2020-01-23T17:12:52,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"D5623,06670099999,06673099999,06660099999,06674099999,06664099999,06644099999"
"ZÃ¼rich, ZH, Schweiz",2020-01-24,3.2,-2.8,-0.7,3.2,-5.3,-1.1,-2.0,90.7,0.0,0,0.0,,0.0,0.0,13.9,7.6,206.5,1027.3,60.8,4.9,47.3,4.1,3,,2020-01-24T08:01:44,2020-01-24T17:14:21,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D5623,06670099999,06673099999,C5455,06660099999,06674099999,06664099999,06644099999"
